Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
73	1290.9631576538086	1000	75000	-68.2043099754192	-74.93043005605296	6182	75000
74	1308.3601908683777	1000	76000	-68.2043099754192	-74.12825342160266	6265	76000
75	1325.8471715450287	1000	77000	-68.2043099754192	-74.16565070564806	6348	77000
76	1343.247414112091	1000	78000	-68.2043099754192	-73.91319138050488	6431	78000
77	1360.6529088020325	1000	79000	-68.2043099754192	-74.14739292805658	6514	79000
78	1378.0769279003143	1000	80000	-68.2043099754192	-74.69202028678168	6598	80000
79	1395.5229089260101	1000	81000	-68.2043099754192	-73.99845720465471	6681	81000
80	1412.9259369373322	1000	82000	-68.2043099754192	-74.50646137672516	6764	82000
81	1430.31898021698	1000	83000	-68.2043099754192	-75.29119899238827	6847	83000
82	1447.7299807071686	1000	84000	-68.2043099754192	-73.86842691724581	6930	84000
83	1465.1302027702332	1000	85000	-68.2043099754192	-73.82822793927213	7014	85000
84	1482.5282235145569	1000	86000	-68.2043099754192	-75.35209507349552	7097	86000
85	1499.9172489643097	1000	87000	-68.2043099754192	-74.91112375661153	7180	87000
86	1517.3620479106903	1000	88000	-68.2043099754192	-74.76729162364353	7263	88000
87	1534.8808171749115	1000	89000	-68.2043099754192	-73.9384913147071	7346	89000
88	1552.3069107532501	1000	90000	-68.2043099754192	-74.08032642726678	7429	90000
89	1569.696961402893	1000	91000	-68.2043099754192	-74.11442359550108	7512	91000
90	1587.115029335022	1000	92000	-68.2043099754192	-73.9948763622847	7595	92000
91	1604.5470566749573	1000	93000	-68.2043099754192	-73.93040127694097	7678	93000
92	1621.9605872631073	1000	94000	-68.2043099754192	-74.0296293869253	7761	94000
93	1639.377597808838	1000	95000	-68.2043099754192	-74.1123333900501	7844	95000
94	1656.797031402588	1000	96000	-68.2043099754192	-74.00272024599008	7927	96000
95	1674.2110455036163	1000	97000	-68.2043099754192	-74.23779081382607	8010	97000
96	1691.6420450210571	1000	98000	-68.2043099754192	-74.89346229321359	8093	98000
97	1709.0470750331879	1000	99000	-68.2043099754192	-74.26420663517465	8176	99000
98	1726.4750764369965	1000	100000	-68.2043099754192	-73.97601517942543	8259	100000
99	1743.8960733413696	1000	101000	-68.2043099754192	-74.34252591411895	8342	101000
100	1761.406242132187	1000	102000	-68.2043099754192	-74.08002650809219	8425	102000
101	1778.835244178772	1000	103000	-68.2043099754192	-74.21129006639687	8508	103000
102	1796.2712602615356	1000	104000	-68.2043099754192	-74.06932089793048	8591	104000
103	1813.70325922966	1000	105000	-68.2043099754192	-74.16699462479097	8674	105000
104	1831.1402597427368	1000	106000	-68.2043099754192	-74.4765147461039	8757	106000
105	1848.564249753952	1000	107000	-68.2043099754192	-74.63467133065288	8840	107000
106	1865.9852576255798	1000	108000	-68.2043099754192	-74.1710209187475	8923	108000
107	1883.440245628357	1000	109000	-68.2043099754192	-74.41170757860283	9007	109000
108	1900.8682610988617	1000	110000	-68.2043099754192	-74.15951241721449	9090	110000
109	1918.3162417411804	1000	111000	-68.2043099754192	-74.01026494296293	9173	111000
110	1935.7322630882263	1000	112000	-68.2043099754192	-74.67818247338207	9256	112000
111	1953.1522278785706	1000	113000	-68.2043099754192	-74.44438853646565	9339	113000
112	1970.5495896339417	1000	114000	-68.2043099754192	-74.34568199509555	9422	114000
